Title	Prediction
Shashi Tharoor summoned in Sunanda death case  Goa church �	1
Cryptocurrency scams in China and India show regulation is always favorable to banning	1
Cryptocurrency ban could cost India dear	1
Cryptocurrency con: two arrested	1
IT Department sends one lakh notices to cryptocurrency investors	1
Jaitley's view on crypto currencies splits opinion	1
Three cryptocurrencies you need to know about	1
Pakistan adds to cryptocurrency curbs	1
Crypto currencies  ICOs under SEBI lens	1
Six Fake Crypto Exchange Sites Busted by Ukraine's Cyberpolice	1
Over 800 cryptocurrencies are now dead as bitcoin is 70 percent off its record high	1
Trump Nominees’ Filings Threaten to Overwhelm Federal Ethics Office - The New York Times	0
Trump Meets With Some Vocal Critics: Editors at Vanity Fair and Vogue - The New York Times	0
Hospital Confirms Eric Trump Helped Raise $16.3 Million for It - The New York Times	0
"Donald Trump, Fort Lauderdale: Your Friday Evening Briefing - The New York Times"	0
California Today: Cracking Down on Distracted Driving - The New York Times	0
Westchester County Reacts to Possible Indian Point Shutdown - The New York Times	0
Recovery Finally Yields Big Gains for Average Worker’s Pay - The New York Times	0
"Florida Airport Assailant May Have Heard Voices Urging Violence, Officials Say - The New York Times"	0
Is Your Workout Not Working? Maybe You’re a Non-Responder - The New York Times	0
Beating of Disabled Teenager Highlights a Crime That Often Goes Unpunished - The New York Times	0
"Andrew Garfield, Spiritual Ghost in the Hollywood Machine - The New York Times"	0
"He Helped Topple a Dictator. In New York, He’s Another Face in the Crowd. - The New York Times"	0
City to Close or Merge 9 Schools That Were in Support Program - The New York Times	0
Kerry Lists Obama Era’s Diplomatic Successes. (Trump Opposes Them All.) - The New York Times	0
"Friday Mailbag: Taunts, Hoaxes, Anonymity and Stealth - The New York Times"	0
Dozens of Inmates Killed as Prison Violence Escalates in Brazil - The New York Times	0
"In Sweden, Happiness in a Shorter Workday Can’t Overcome the Cost - The New York Times"	0
How to Pounce on Best Credit Card Offers (Before Banks Pull Them) - The New York Times	0
‘I Thought I Was Impervious to Scams’: Readers Denounce India’s Phone Swindlers - The New York Times	0
"For Millennials, It’s Never Too Early to Save for Retirement - The New York Times"	0
Four Movies You Should Know About Before the Golden Globes - The New York Times	0
"A Young Mother’s Solitary, Uphill Struggle - The New York Times"	0
Trump Calls for Closer Relationship Between U.S. and Russia - The New York Times	0
Senate Confirmation Hearings to Begin Without All Background Checks - The New York Times	0
"In Year Before Florida Shooting, Suspect’s Problems Multiplied - The New York Times"	0
The Major Potential Impact of a Corporate Tax Overhaul - The New York Times	0
Trump Insists Mexico Will Pay for Wall After U.S. Begins the Work - The New York Times	0
Scientists Say the Clock of Aging May Be Reversible - The New York Times	0
Why You Will Marry the Wrong Person - The New York Times	0
"When Killer and Victim’s Mother Meet, Paths From Grief, Fear and Guilt Emerge - The New York Times"	0
"After One-Child Policy, Outrage at China’s Offer to Remove IUDs - The New York Times"	0
Naomie Harris: A Chameleon on Screen and Off - The New York Times	0
U.S. Consulate Official Shot and Wounded in Mexico - The New York Times	0
300 Marines to Aid Fight Against Taliban in Spring - The New York Times	0
Brock Osweiler and Texans Knock the Battered Raiders Out of the Playoffs - The New York Times	0
"In Turkey’s Unrest, Some See an Extreme Version of Post-9/11 America - The New York Times"	0
"Light Pillars, a Million-Mirror Optical Illusion on Winter Nights - The New York Times"	0
"Tilikum, the Killer Whale Featured in ‘Blackfish,’ Dies - The New York Times"	0
What TV Says About Race and Money - The New York Times	0
The Making of Virtually Real Art With Google’s Tilt Brush - The New York Times	0
Seizing a Second Chance to Graduate From High School - The New York Times	0
Airstrikes by Russia Buttress Turkey in Battle vs. ISIS - The New York Times	0
"Donald Trump, Golden Globes, Jerusalem: Your Monday Briefing - The New York Times"	0
"In Election Hacking, Julian Assange’s Years-Old Vision Becomes Reality - The New York Times"	0
Data Could Be the Next Tech Hot Button for Regulators - The New York Times	0
Russian Hackers Find Ready Bullhorns in the Media - The New York Times	0
‘What’s the Big Deal?’ Ask Trump Voters on Russia Hacking Report - The New York Times	0
"After Fort Lauderdale Shooting, Rumor of Second Gunman Created Chaos - The New York Times"	0
Experts Hesitate to Link Florida Airport Attack to PTSD - The New York Times	0
"At Dylann Roof’s Trial, a Question of How Many Tears Are Too Many - The New York Times"	0
‘La La Land’ Wins Seven Golden Globes ‘Moonlight’ Wins Best Drama - The New York Times	0
Donald Trump Says He’s Not Surprised by Meryl Streep’s Golden Globes Speech - The New York Times	0
Jenna Bush Hager and Michael Keaton Flub Movie Title at Golden Globes - The New York Times	0
"On the Golden Globes Red Carpet, It’s Fantasy vs. Reality - The New York Times"	0
Golden Globe Award Winners 2017: The Complete List - The New York Times	0
Can Evolution Have a ‘Higher Purpose’? - The New York Times	0
Steelers Crush Dolphins to Set Up a Clash With the Chiefs - The New York Times	0
Death of Iran’s Rafsanjani Removes Influential Voice Against Hard-Liners - The New York Times	0
"Ayatollah Ali Akbar Hashemi Rafsanjani, Ex-President of Iran, Dies at 82 - The New York Times"	0
It’s Right in the Name: Safes Are Safe. Except for Two on New Year’s Eve. - The New York Times	0
"North Korea, Rebuking Trump, Says It Can Test Long-Range Missile ‘Anytime’ - The New York Times"	0
F.B.I. Arrests Volkswagen Executive on Conspiracy Charge in Emissions Scandal - The New York Times	0
4 Die in Jerusalem Attack as Palestinian Rams Truck Into Soldiers - The New York Times	0
‘Hidden Figures’ Ties ‘Rogue One’ at Box Office - The New York Times	0
Israeli Embassy Official Plotted to ‘Take Down’ U.K. Politicians - The New York Times	0
"Sticker Shock, and Maybe Nausea, Hamper Sales of Virtual Reality Gear - The New York Times"	0
Queen Elizabeth II Makes First Public Appearance Since Dec. 9 - The New York Times	0
"New David Bowie Video Arrives, Hours Before He Would Have Turned 70 - The New York Times"	0
Hillary Clinton Receives Ovation at ‘The Color Purple’ - The New York Times	0
Ireland Reconsiders Its Constitutional Ban on Abortion - The New York Times	0
Multi-crore cryptocurrency racket busted in Thane 	1
Reserve Bank circular on cryptocurrency challenged	1
Another company moves HC against RBI circular on cryptocurrencies	1
Cryptocurrency con: two arrested	1
Bitcoin extortion by policemen?	1
�Ensure safety of data on cryptocurrency�	1
Can hashgraph succeed blockchain as the technology of choice for cryptocurrencies	1
SEBI eyes tighter e-KYC standards	1
What is cryptojacking and how can it infect your computer?	1
RBI asks banks to stop services to those dealing in virtual currencies	1
Pakistan adds to cryptocurrency curbs	1
The rise and fall of bitcoin	1
Reserve Bank circular on cryptocurrency challenged	1
The Bitcoin probe unravelling in Surat is a Pandora�s Box	1
4 Die in Jerusalem Attack as Palestinian Rams Truck Into Soldiers - The New York Times	0
‘Hidden Figures’ Ties ‘Rogue One’ at Box Office - The New York Times	0
Israeli Embassy Official Plotted to ‘Take Down’ U.K. Politicians - The New York Times	0
"Sticker Shock, and Maybe Nausea, Hamper Sales of Virtual Reality Gear - The New York Times"	0
Queen Elizabeth II Makes First Public Appearance Since Dec. 9 - The New York Times	0
"New David Bowie Video Arrives, Hours Before He Would Have Turned 70 - The New York Times"	0
Hillary Clinton Receives Ovation at ‘The Color Purple’ - The New York Times	0
Ireland Reconsiders Its Constitutional Ban on Abortion - The New York Times	0
Rick Ross Documentary Video Doubles as Ad for Checkers - The New York Times	0
"Along New York Harbor, ‘On the Waterfront’ Endures - The New York Times"	0
Seeing America Through Ángel Franco’s Eyes - The New York Times	0
"Review: ‘The Present’: Even in Russia, It’s Hard to Turn 40 - The New York Times"	0
"A Love Lost, and a Life to Be Regained - The New York Times"	0
"Jared Kushner, a Trump In-Law and Adviser, Chases a Chinese Deal - The New York Times"	0
Muted Response From Health Lobby as Affordable Care Act Faces Repeal - The New York Times	0
Women’s March on Washington Opens Contentious Dialogues About Race - The New York Times	0
"Betsy DeVos, Trump’s Education Pick, Plays Hardball With Her Wealth - The New York Times"	0
Anonymous Bomb Threats Rattle Jewish Centers Across Eastern U.S. - The New York Times	0
American Destroyer Fires Warning Shots at Iranian Boats - The New York Times	0
"In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times"	0
"U.S. Blacklists 5 Russians, a Close Putin Aide Among Them - The New York Times"	0
Here’s How Clemson Won the College Football Playoff Championship - The New York Times	0
"Israel Buries 4 Soldiers, but the Mourning Is Marred by Discord - The New York Times"	0
Volkswagen Executive’s Trip to U.S. Allowed F.B.I. to Pounce - The New York Times	0
"At Golden Globes Afterparties, Stars Applaud Meryl Streep - The New York Times"	0
